Time resolution is 1 ps
Time: 1225000 | Master Din: a5 | Addr: 10000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 1245000 | Master Din: 00 | Addr: 10000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1275000 | Master Din: 00 | Addr: 10000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1295000 | Master Din: a5 | Addr: 10000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 1315000 | Master Din: 00 | Addr: 10000000000001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1405000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1425000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 1445000 | Master Din: 00 | Addr: 01000000000010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1475000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1495000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 1515000 | Master Din: 00 | Addr: 01000000000001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1545000 | Master Din: 00 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1565000 | Master Din: a5 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1585000 | Master Din: 00 | Addr: 00000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1615000 | Master Din: 00 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1635000 | Master Din: a5 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1655000 | Master Din: 00 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1755000 | Master Din: a5 | Addr: 00000000000001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1775000 | Master Din: 00 | Addr: 00000000000001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1805000 | Master Din: 00 | Addr: 10000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1825000 | Master Din: a5 | Addr: 10000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 1845000 | Master Din: 00 | Addr: 10000000000000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
